nombre,coherencia,stim,resp,rt
CF_2019_09_09_11_27_00.mat,0.1,1,0,1.462913678
CF_2019_09_09_11_27_00.mat,0.15,0,1,3.016341429
CF_2019_09_09_11_27_00.mat,0.2,0,0,1.246675311
CF_2019_09_09_11_27_00.mat,0.7,1,1,1.065696905
CF_2019_09_09_11_27_00.mat,0.7,1,1,2.033698391
CF_2019_09_09_11_27_00.mat,0.1,1,0,2.483050806
CF_2019_09_09_11_27_00.mat,0.15,0,0,1.459577055
CF_2019_09_09_11_27_00.mat,0.1,1,1,1.455370342
CF_2019_09_09_11_27_00.mat,0.3,1,1,1.84824489
CF_2019_09_09_11_27_00.mat,0.1,0,0,1.017072204
CF_2019_09_09_11_27_00.mat,0.2,1,1,2.815978659
CF_2019_09_09_11_27_00.mat,0.15,1,1,2.6998958
CF_2019_09_09_11_27_00.mat,0.15,0,0,0.997854473
CF_2019_09_09_11_27_00.mat,0.2,0,0,2.618176505
CF_2019_09_09_11_27_00.mat,0.1,0,0,2.481300236
CF_2019_09_09_11_27_00.mat,0.1,0,0,2.865206526
CF_2019_09_09_11_27_00.mat,0.7,0,0,0.816213675
CF_2019_09_09_11_27_00.mat,0.7,0,0,0.881307915
CF_2019_09_09_11_27_00.mat,0.2,1,1,1.183034904
CF_2019_09_09_11_27_00.mat,0.3,1,1,1.082221432
CF_2019_09_09_11_27_00.mat,0.3,1,1,0.832998512
CF_2019_09_09_11_27_00.mat,0.15,1,1,1.598980175
CF_2019_09_09_11_27_00.mat,0.7,1,1,0.882713583
CF_2019_09_09_11_27_00.mat,0.15,1,1,2.26639061
CF_2019_09_09_11_27_00.mat,0.15,0,0,0.83255467
CF_2019_09_09_11_27_00.mat,0.3,0,0,1.148436747
CF_2019_09_09_11_27_00.mat,0.1,0,0,1.647897821
CF_2019_09_09_11_27_00.mat,0.7,0,0,0.816902865
CF_2019_09_09_11_27_00.mat,0.1,1,1,0.965586425
CF_2019_09_09_11_27_00.mat,0.7,0,0,0.598667177
CF_2019_09_09_11_27_00.mat,0.3,0,1,2.250390809
CF_2019_09_09_11_27_00.mat,0.7,1,1,0.765273435
CF_2019_09_09_11_27_00.mat,0.15,0,0,0.767166183
CF_2019_09_09_11_27_00.mat,0.2,0,0,1.849876879
CF_2019_09_09_11_27_00.mat,0.1,1,1,1.413927636
CF_2019_09_09_11_27_00.mat,0.15,0,0,0.835099565
CF_2019_09_09_11_27_00.mat,0.2,1,1,1.030442872
CF_2019_09_09_11_27_00.mat,0.2,0,0,0.782598134
CF_2019_09_09_11_27_00.mat,0.3,0,0,1.532871707
CF_2019_09_09_11_27_00.mat,0.7,0,0,0.68160149
EL_2019_09_09_11_43_34.mat,0.2,0,0,2.550621202
EL_2019_09_09_11_43_34.mat,0.1,0,1,4.213326438
EL_2019_09_09_11_43_34.mat,0.1,1,1,4.698654925
EL_2019_09_09_11_43_34.mat,0.7,1,1,1.734777281
EL_2019_09_09_11_43_34.mat,0.3,1,1,1.73099828
EL_2019_09_09_11_43_34.mat,0.7,0,0,0.816825205
EL_2019_09_09_11_43_34.mat,0.2,0,0,2.763424844
EL_2019_09_09_11_43_34.mat,0.15,1,1,2.568223321
EL_2019_09_09_11_43_34.mat,0.15,1,1,4.2499462
EL_2019_09_09_11_43_34.mat,0.7,0,0,1.065565407
EL_2019_09_09_11_43_34.mat,0.2,1,1,1.397082596
EL_2019_09_09_11_43_34.mat,0.15,0,0,1.151366884
EL_2019_09_09_11_43_34.mat,0.1,1,1,2.381166743
EL_2019_09_09_11_43_34.mat,0.15,0,0,1.181938205
EL_2019_09_09_11_43_34.mat,0.2,1,1,1.11612859
EL_2019_09_09_11_43_34.mat,0.3,0,0,0.88445193
EL_2019_09_09_11_43_34.mat,0.1,1,1,1.36516272
EL_2019_09_09_11_43_34.mat,0.7,1,1,1.016122505
EL_2019_09_09_11_43_34.mat,0.2,1,1,3.565964029
EL_2019_09_09_11_43_34.mat,0.1,0,0,1.51475372
EL_2019_09_09_11_43_34.mat,0.1,0,0,1.566199022
EL_2019_09_09_11_43_34.mat,0.1,0,0,2.21541594
EL_2019_09_09_11_43_34.mat,0.3,1,1,1.016740986
EL_2019_09_09_11_43_34.mat,0.15,1,1,1.182718265
EL_2019_09_09_11_43_34.mat,0.15,1,1,1.264245713
EL_2019_09_09_11_43_34.mat,0.3,1,1,1.066754942
EL_2019_09_09_11_43_34.mat,0.1,1,0,3.181719098
EL_2019_09_09_11_43_34.mat,0.1,1,1,5.49813437
EL_2019_09_09_11_43_34.mat,0.2,1,1,1.267627455
EL_2019_09_09_11_43_34.mat,0.3,0,0,0.864139689
EL_2019_09_09_11_43_34.mat,0.15,0,0,1.101394712
EL_2019_09_09_11_43_34.mat,0.7,1,1,0.764342046
EL_2019_09_09_11_43_34.mat,0.7,0,0,0.750955315
EL_2019_09_09_11_43_34.mat,0.3,0,0,1.114537525
EL_2019_09_09_11_43_34.mat,0.7,0,0,0.94840612
EL_2019_09_09_11_43_34.mat,0.15,0,0,4.001512113
EL_2019_09_09_11_43_34.mat,0.2,0,0,1.214742715
EL_2019_09_09_11_43_34.mat,0.3,0,0,1.2833969
EL_2019_09_09_11_43_34.mat,0.3,1,1,0.947654855
EL_2019_09_09_11_43_34.mat,0.15,0,0,2.916593941
EL_2019_09_09_11_43_34.mat,0.15,1,1,0.865620772
EL_2019_09_09_11_43_34.mat,0.7,0,0,0.799205065
EL_2019_09_09_11_43_34.mat,0.3,0,0,2.332538113
EL_2019_09_09_11_43_34.mat,0.7,0,0,0.932801725
EL_2019_09_09_11_43_34.mat,0.7,1,1,0.69909175
EL_2019_09_09_11_43_34.mat,0.7,1,1,0.782453678
EL_2019_09_09_11_43_34.mat,0.2,0,0,2.101578452
EL_2019_09_09_11_43_34.mat,0.15,1,1,0.814126753
EL_2019_09_09_11_43_34.mat,0.3,0,0,0.865033644
EL_2019_09_09_11_43_34.mat,0.3,1,1,0.734009107
EL_2019_09_09_11_43_34.mat,0.7,1,1,1.064263661
EL_2019_09_09_11_43_34.mat,0.15,0,0,1.650244573
EL_2019_09_09_11_43_34.mat,0.1,1,1,2.650488827
EL_2019_09_09_11_43_34.mat,0.2,1,1,1.265560378
EL_2019_09_09_11_43_34.mat,0.1,0,0,0.846265702
EL_2019_09_09_11_43_34.mat,0.2,1,1,0.866933337
EL_2019_09_09_11_43_34.mat,0.1,0,0,1.017094855
EL_2019_09_09_11_43_34.mat,0.2,0,0,1.063956842
EL_2019_09_09_11_43_34.mat,0.2,0,0,1.150858095
EL_2019_09_09_11_43_34.mat,0.3,1,1,0.681131092
FA_2019_09_09_11_54_00.mat,0.1,0,0,1.785530292
FA_2019_09_09_11_54_00.mat,0.7,0,0,5.849127
FA_2019_09_09_11_54_00.mat,0.3,1,1,0.846929003
FA_2019_09_09_11_54_00.mat,0.15,0,0,0.91654747
FA_2019_09_09_11_54_00.mat,0.1,0,0,3.734362572
FA_2019_09_09_11_54_00.mat,0.2,0,0,2.531480928
FA_2019_09_09_11_54_00.mat,0.7,1,1,0.647842477
FA_2019_09_09_11_54_00.mat,0.3,1,1,0.832638735
FA_2019_09_09_11_54_00.mat,0.15,1,0,2.300203458
FA_2019_09_09_11_54_00.mat,0.1,0,0,1.948322802
FA_2019_09_09_11_54_00.mat,0.2,1,1,1.76479968
FA_2019_09_09_11_54_00.mat,0.15,1,1,2.216387671
FA_2019_09_09_11_54_00.mat,0.2,0,0,1.131321752
FA_2019_09_09_11_54_00.mat,0.3,1,1,1.36602941
FA_2019_09_09_11_54_00.mat,0.7,0,0,0.666625495
FA_2019_09_09_11_54_00.mat,0.15,0,0,2.384044202
FA_2019_09_09_11_54_00.mat,0.7,1,1,1.949226023
FA_2019_09_09_11_54_00.mat,0.3,1,1,1.264875068
FA_2019_09_09_11_54_00.mat,0.2,0,0,0.86734107
FA_2019_09_09_11_54_00.mat,0.7,1,1,0.730564868
FA_2019_09_09_11_54_00.mat,0.7,1,1,1.217629718
FA_2019_09_09_11_54_00.mat,0.2,1,0,0.86519489
FA_2019_09_09_11_54_00.mat,0.1,0,0,1.100325455
FA_2019_09_09_11_54_00.mat,0.1,0,0,1.263068
FA_2019_09_09_11_54_00.mat,0.3,1,1,1.167134865
FA_2019_09_09_11_54_00.mat,0.2,0,0,1.050793534
FA_2019_09_09_11_54_00.mat,0.1,1,1,1.165258692
FA_2019_09_09_11_54_00.mat,0.3,0,0,0.630784593
FA_2019_09_09_11_54_00.mat,0.3,0,0,0.665711063
FA_2019_09_09_11_54_00.mat,0.2,0,0,0.579740061
FA_2019_09_09_11_54_00.mat,0.3,1,1,0.682612348
FA_2019_09_09_11_54_00.mat,0.2,1,0,1.36751015
FA_2019_09_09_11_54_00.mat,0.15,0,0,0.86376934
FA_2019_09_09_11_54_00.mat,0.1,1,1,1.000242115
FA_2019_09_09_11_54_00.mat,0.3,0,0,0.582570645
FA_2019_09_09_11_54_00.mat,0.7,0,0,0.665134067
FA_2019_09_09_11_54_00.mat,0.15,1,1,0.799822152
FA_2019_09_09_11_54_00.mat,0.2,1,1,0.815463503
FA_2019_09_09_11_54_00.mat,0.1,1,0,2.09942883
FA_2019_09_09_11_54_00.mat,0.2,1,1,2.23261042
FA_2019_09_09_11_54_00.mat,0.7,1,1,0.899800687
FA_2019_09_09_11_54_00.mat,0.1,1,0,2.446902978
FA_2019_09_09_11_54_00.mat,0.2,0,0,0.701446845
FA_2019_09_09_11_54_00.mat,0.3,0,0,0.863384496
FA_2019_09_09_11_54_00.mat,0.7,0,0,0.749785525
